City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,colonia,50.9333,6.95,8.57,77,75,4.12,DE,1713492946
239,palamos,41.8484,3.1291,11.17,43,1,4.02,ES,1713492947
240,sinabang,2.4803,96.3801,29.16,71,86,0.21,ID,1713492948
241,kingston,17.997,-76.7936,25.65,86,0,1.45,JM,1713492949
242,port saint john's,-31.6229,29.5448,20.39,88,11,1.93,ZA,1713492952
243,mar del plata,-38.0023,-57.5575,14.93,76,0,3.58,AR,1713492953
244,badger,64.8,-147.5333,15.14,28,75,0.0,US,1713492954
245,harstad,68.799,16.5293,-1.58,65,82,6.71,NO,1713492955
246,homer,59.6425,-151.5483,6.93,75,100,11.32,US,1713492956
247,tomatlan,19.9333,-105.25,21.19,69,3,1.72,MX,1713492957
248,tralee,52.2704,-9.7026,9.79,97,100,3.26,IE,1713492959
249,crane,31.3974,-102.3501,23.48,26,0,9.9,US,1713492960
250,vilyuysk,63.7553,121.6247,0.56,86,100,3.13,RU,1713492961
251,taksimo,56.3444,114.8794,0.37,53,100,0.69,RU,1713492962
252,mount pleasant,32.7941,-79.8626,22.95,82,0,0.45,US,1713492963
253,betio village,1.358,172.9211,31.02,77,24,4.91,KI,1713492964
254,ponneri,13.3167,80.2,30.02,70,88,5.52,IN,1713492966
255,rawson,-43.3002,-65.1023,20.85,38,100,11.16,AR,1713492967
256,zouerate,22.7187,-12.4521,24.65,26,100,5.52,MR,1713492968
257,nacozari de garcia,30.3742,-109.6908,21.89,12,77,3.15,MX,1713492969
258,port douglas,-16.4833,145.4667,24.88,93,100,5.63,AU,1713492970
259,khovd,48.0056,91.6419,11.56,29,100,1.8,MN,1713492971
260,turabah,21.2141,41.6331,22.59,47,0,1.87,SA,1713492973
261,uliastay,47.7417,96.8444,6.98,22,59,1.27,MN,1713492975
262,la paz,-16.5,-68.15,7.99,93,64,2.57,BO,1713492323
263,ipora,-16.4419,-51.1178,22.21,86,58,1.95,BR,1713492977
264,woodlake,37.4211,-77.6793,20.53,69,0,1.54,US,1713492979
265,pointe michel,15.25,-61.3833,26.51,80,89,2.44,DM,1713492980
266,enewetak,11.3474,162.3373,27.57,81,26,9.34,MH,1713492981
267,nagqu,31.5,92.0,4.29,39,100,8.31,CN,1713492982
268,vadso,70.0744,29.7487,-10.51,79,0,2.06,NO,1713492983
269,franceville,-1.6333,13.5836,22.51,98,100,0.66,GA,1713492984
270,brigantine,39.4101,-74.3646,8.9,85,100,6.17,US,1713492986
271,khorixas,-20.3667,14.9667,27.59,29,87,1.97,NA,1713492988
272,eldorado,-23.7869,-54.2836,15.4,61,0,1.46,BR,1713492990
273,faya-largeau,17.9257,19.1043,29.59,16,1,8.99,TD,1713492991
274,nafada,11.0956,11.3327,30.9,13,54,2.57,NG,1713492993
275,cifuentes,22.645,-80.0461,23.17,83,20,3.09,CU,1713492994
276,uturoa,-16.7333,-151.4333,28.79,73,99,5.64,PF,1713492995
277,puerto baquerizo moreno,-0.9,-89.6,24.62,91,100,2.75,EC,1713492996
278,praia,14.9215,-23.5087,28.3,24,0,9.26,CV,1713492997
279,hailar,49.2,119.7,4.49,26,100,4.4,CN,1713492998
280,malanje,-9.5402,16.341,18.05,95,91,0.99,AO,1713493001
281,linxia chengguanzhen,35.6003,103.2064,10.93,51,14,2.25,CN,1713493002
282,trenton,40.217,-74.7429,9.29,76,100,4.12,US,1713492782
283,minas,-34.3759,-55.2377,10.75,82,27,1.66,UY,1713493004
284,rio de janeiro,-22.9028,-43.2075,22.98,78,75,2.57,BR,1713492752
285,mournies,35.4764,24.0092,16.02,82,40,5.14,GR,1713493006
286,kani keli,-12.9536,45.1033,27.59,73,98,7.93,YT,1713493007
287,rengasdengklok,-6.1592,107.2981,30.07,68,77,1.4,ID,1713493009
288,new norfolk,-42.7826,147.0587,15.51,47,61,1.41,AU,1713493010
289,piton saint-leu,-21.2196,55.3151,22.04,64,75,3.09,RE,1713493011
290,peace river,56.2501,-117.286,5.04,27,34,3.61,CA,1713493012
291,el granada,37.5027,-122.4694,21.69,75,100,9.77,US,1713493013
